영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
시간 여행자의 두 아내,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,2021-02-26,개봉영화,장편,한국,19,65000,19,3000,2,멜로/로맨스,청소년관람불가,일반영화
일부다처제,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,2021-03-12,개봉영화,장편,한국,19,65000,19,3000,2,멜로/로맨스,청소년관람불가,일반영화
남매의 세계,왕지방,(주)메이크아트,,(주)메이크아트,2020-11-03,개봉영화,장편,한국,1,90000,18,0,0,멜로/로맨스,청소년관람불가,일반영화
별에서 온 순임,전지원,(주)메이크아트,,(주)메이크아트,2020-11-10,개봉영화,장편,한국,1,90000,18,0,0,드라마,청소년관람불가,일반영화
슬기로운 불륜생활,전지원,(주)메이크아트,,(주)메이크아트,2020-11-10,개봉영화,장편,한국,1,90000,18,0,0,멜로/로맨스,청소년관람불가,일반영화
야구소녀,최윤태,한국영화아카데미,,"(주)싸이더스,찬란",2020-06-18,개봉영화,장편,한국,264,87000,17,80000,16,드라마,12세이상관람가,독립/예술영화
고급창녀,에로핑,(주)케이알씨지,,(주)케이알씨지,2021-01-21,개봉영화,장편,한국,8,10000,10,2000,2,성인물(에로),청소년관람불가,일반영화
강철비2 : 정상회담 확장판,양우석,(주)스튜디오게니우스우정,,롯데컬처웍스(주)롯데엔터테인먼트,2020-09-30,개봉영화,장편,한국,126,96000,8,96000,8,드라마,15세이상관람가,일반영화
매춘: 은밀한 제안들,이동현,(주)디에이치미디어,,(주)케이알씨지,2021-01-29,개봉영화,장편,한국,8,8000,8,1000,1,성인물(에로),청소년관람불가,일반영화
바람이 분다,선우용,(주)룬컴퍼니,,(주)룬컴퍼니,2021-04-30,개봉영화,장편,한국,5,8000,6,4000,2,성인물(에로),청소년관람불가,일반영화
고추명가 시월드,문정동 쪼형,두리컴,,(주)코빈커뮤니케이션즈,2021-04-29,개봉영화,장편,한국,5,5000,5,1000,1,성인물(에로),청소년관람불가,일반영화
그랜드퍼커 회춘할배,용PD,두리컴,,(주)코빈커뮤니케이션즈,2021-04-29,개봉영화,장편,한국,5,5000,5,1000,1,성인물(에로),청소년관람불가,일반영화
리얼돌 : 섹스마네킹,손승민,(주)로드하우스,,노바엔터테인먼트,2021-04-05,개봉영화,장편,한국,5,24000,5,0,0,드라마,청소년관람불가,일반영화
바람바람,선우용,(주)룬컴퍼니,,(주)룬컴퍼니,2021-01-20,개봉영화,장편,한국,5,6000,5,2000,1,성인물(에로),청소년관람불가,일반영화
삼얼간이,김덕,두리컴,,(주)코빈커뮤니케이션즈,2021-04-30,개봉영화,장편,한국,5,5000,5,1000,1,성인물(에로),청소년관람불가,일반영화
야설쓰는 착한이모,강백호,(주)로드하우스,,노바엔터테인먼트,2021-04-20,개봉영화,장편,한국,5,24000,5,0,0,멜로/로맨스,청소년관람불가,일반영화
음란한 두 자매,알렉사 박,케이엘 픽쳐스,,케이엘 픽쳐스,2021-04-22,개봉영화,장편,한국,1,26000,5,2000,1,멜로/로맨스,청소년관람불가,일반영화
