,영화명,제작사,전국 관객수,등급,영화구분,흥행,주연배우_흥행비율,director_rank,gr_rank,dis_rank
292,컨버세이션,266,1361,0,0,N,0.0,232,9,91
293,우수,30,1335,0,0,N,0.0,233,10,79
294,낭만적 공장,257,1230,1,0,N,0.06666666666666667,261,12,112
295,라스트필름,99,1064,0,0,N,0.0,245,10,100
296,스타게이저: 아스트로스코프,104,1059,2,1,N,0.0,218,15,50
297,혜옥이,230,995,0,0,N,0.0,247,10,72
298,헌트,73,927,1,1,N,0.43333333333333335,9,4,4
299,낮에는 덥고 밤에는 춥고,192,913,0,0,N,0.0,222,10,91
300,컴백홈,62,905,1,1,N,0.1111111111111111,94,10,43
301,오늘 출가합니다,187,902,0,0,N,0.0,169,10,72
302,보이지 않아,247,892,0,1,N,0.0,280,10,119
303,불멸의 여자,248,880,1,0,N,0.0,265,10,118
304,튤립 모양,56,837,0,0,N,0.0,279,10,117
305,미혹,215,780,1,0,N,0.0,149,3,61
306,나를 죽여줘,92,685,1,0,N,0.0,206,10,72
307,극장판 엄마 까투리: 도시로 간 까투리 가족,133,620,2,1,N,0.0,68,14,9
308,통영에서의 하루,58,606,0,0,N,0.0,288,10,113
309,희망의 요소,275,587,0,0,N,0.0,268,12,91
310,"아치의 노래, 정태춘",107,586,2,0,N,0.0,106,16,9
311,낮과 달,271,571,1,0,N,0.0,208,10,75
312,귀못,146,568,1,1,N,0.0,96,13,47
313,영화감독 노동주,45,531,2,0,N,0.0,274,16,124
314,팬픽에서 연애까지,149,367,1,1,N,0.0,284,12,87
315,2퍼센트,216,361,0,0,N,0.0,298,10,109
316,1번국도,164,340,1,0,N,0.0,287,10,106
317,픽션들,157,312,1,0,N,0.0,290,10,100
318,거래완료,274,303,0,0,N,0.0,196,10,46
319,선데이리그,195,300,2,0,N,0.0,254,7,111
320,경아의 딸,238,266,1,0,N,0.0,163,10,79
321,별 볼일 없는 인생,13,220,1,0,N,0.0,297,12,87
322,2차 송환,265,186,0,0,N,0.0,260,16,71
323,관계의 일변,246,121,1,0,N,0.0,304,10,126
324,시맨틱 에러: 더 무비,249,108,0,1,N,0.0,100,12,33
325,프린세스 아야,241,99,2,1,N,0.0,129,6,20
326,민족,279,79,0,0,N,0.0,310,10,126
327,늑대사냥,120,74,3,1,N,0.3666666666666667,46,4,15
328,솔라 플라워,57,52,1,0,N,0.0,288,10,133
329,홈리스,125,44,0,0,N,0.0,201,10,90
330,사잇소리,105,37,1,0,N,0.0,286,8,118
331,생각 그런거 없는데요,233,22,0,1,N,0.0,314,10,134
332,소설가의 영화,97,19,0,0,N,0.0,207,10,94
333,카시오페아,1,15,0,0,N,0.08333333333333333,122,10,72
334,썬더버드,271,12,1,0,N,0.0,188,10,72
335,주연,226,5,0,0,N,0.0,259,10,93
336,신황제를 위하여,150,2,3,1,N,0.0,294,4,43
337,범죄도시2,243,12692959,1,1,Y,0.7999999999999999,2,1,1
338,한산: 용의 출현,53,7262228,0,1,Y,0.3277777777777778,7,4,8
339,공조2: 인터내셔날,110,6948788,1,1,Y,0.626984126984127,5,4,6
340,헌트,73,4349102,1,1,Y,0.43333333333333335,9,4,4
341,마녀(魔女) Part2. The Other One,81,2806254,1,1,Y,1.0,12,4,9
342,비상선언,34,2042999,0,1,Y,0.7222222222222222,10,10,3
343,육사오(6/45),130,1977487,0,1,Y,0.39999999999999997,21,7,7
344,헤어질 결심,184,1886224,1,1,Y,0.3666666666666667,24,3,6
345,외계+인 1부,118,1538504,0,1,Y,1.0,16,4,6
346,브로커,224,1258891,0,1,Y,0.49999999999999994,17,10,6
347,인생은 아름다워,171,1073819,0,1,Y,0.5,31,5,8
348,정직한 후보2,60,892173,0,1,Y,0.45634920634920634,38,7,9
349,늑대사냥,120,458646,3,1,Y,0.3666666666666667,46,4,15
350,자백,180,284521,1,1,N,0.5555555555555555,41,1,8
351,리멤버,85,257970,1,1,N,0.25,49,10,12
352,니 부모 얼굴이 보고 싶다,17,246032,1,1,N,0.25,44,10,10
353,극장판 엄마 까투리: 도시로 간 까투리 가족,133,170747,2,1,N,0.0,68,14,9
354,서울괴담,237,67837,1,1,N,0.0,69,13,4
355,리미트,49,66200,1,1,N,0.06666666666666667,76,1,30
356,대무가,122,60997,1,0,N,0.0,81,10,31
357,더 킬러: 죽어도 되는 아이,69,60175,3,1,N,0.0,70,4,26
358,시맨틱 에러: 더 무비,249,59206,0,1,N,0.0,100,12,33
359,고고다이노 극장판: 얼음공룡의 비밀,39,51739,2,0,N,0.0,86,14,35
360,컴백홈,62,42783,1,1,N,0.1111111111111111,94,10,43
361,귀못,146,41774,1,1,N,0.0,96,13,47
362,뒤틀린 집,126,34886,1,1,N,0.0,79,13,46
363,"아치의 노래, 정태춘",107,33467,2,0,N,0.0,106,16,9
364,쥬라기캅스 극장판: 공룡시대 대모험,61,26188,2,1,N,0.0,87,14,4
365,안녕하세요,24,25140,0,1,N,0.0,89,10,56
366,공기살인,32,24992,0,1,N,0.09523809523809523,90,10,15
367,어부바,11,23674,2,0,N,0.0,93,17,72
368,카시오페아,1,22414,0,0,N,0.08333333333333333,122,10,72
369,앵커,109,21009,1,1,N,0.0,97,8,12
370,프린세스 아야,241,20662,2,1,N,0.0,129,6,20
371,뜨거운 피,239,20656,1,1,N,0.16666666666666666,99,1,38
372,룸 쉐어링,251,17040,2,0,N,0.25,105,10,53
373,니얼굴,174,16063,2,0,N,0.0,133,16,66
374,봄날,77,15319,1,0,N,0.0,107,10,41
375,피는 물보다 진하다,20,14201,1,1,N,0.0,109,4,87
376,오마주,112,13519,0,0,N,0.0,113,10,42
377,세븐틴 파워 오브 러브 : 더 무비,207,11921,2,1,N,0.0,72,15,25
378,미혹,215,11840,1,0,N,0.0,149,3,61
379,오! 마이 고스트,270,11094,1,0,N,0.06666666666666667,123,7,54
380,모어,279,10972,1,0,N,0.0,125,16,70
381,녹턴,264,10890,0,0,N,0.0,127,16,71
382,엑스칼리버 더 뮤지컬 다큐멘터리: 도겸의 찬란한 여정,207,10436,2,1,N,0.0,72,15,40
383,경아의 딸,238,8631,1,0,N,0.0,163,10,79
384,둠둠,106,7894,1,0,N,0.0,138,10,66
385,홈리스,125,6780,0,0,N,0.0,201,10,90
386,광대: 소리꾼,250,6695,0,1,N,0.0,148,2,42
387,썬더버드,271,6215,1,0,N,0.0,188,10,72
388,이공삼칠,183,5516,1,0,N,0.0,155,17,74
389,어웨이크,251,5367,1,0,N,0.0,157,3,53
390,거래완료,274,5311,0,0,N,0.0,196,10,46
391,말임씨를 부탁해,131,4860,2,0,N,0.16666666666666666,158,10,74
392,아이를 위한 아이,6,4515,0,0,N,0.0,161,9,72
